time,ax,ay,az,gx,gy,gz,temp
7828,0.5834961,1.069336,-0.3637695,25.80916,-3.717557,-51.89313,26.01176
7831,-0.1818848,0.6396484,-0.7387695,-2.587786,78.91603,-2.221374,26.71765
7811,0.5881348,0.958252,-0.4240723,-9.687023,14.78626,-12.12977,25.91765
7830,0.1872559,1.045166,-0.06738281,-26.85496,-1.480916,-2.89313,26.01176
7802,0.1584473,0.8781738,-0.1098633,-25.92366,-2.641221,7.374046,25.91765
8213,0.2651367,0.9287109,-0.04394531,-9.366412,-2.396947,12.05344,26.01176
7829,0.2978516,0.9914551,-0.00390625,0.3129771,-6.061069,14.75572,26.71765
7803,0.2524414,0.9516602,-0.07714844,5.503817,3.015267,18.84733,26.01176
7804,0.3249512,0.9284668,-0.1506348,8.824428,2.694656,19.54962,26.05882
7763,0.3378906,0.918457,-0.197998,8.045801,0.2748091,19.74809,26.01176
7779,0.4313965,0.8911133,-0.2385254,4.38168,1.351145,12.22137,26.01176
7809,0.4780273,0.8896484,-0.2416992,0.740458,0.4885496,2.557252,26.15294
7840,0.4616699,0.8977051,-0.2099609,-2.816794,-0.6259542,-4.572519,26.01176
7806,0.3347168,0.9291992,-0.1437988,-2.267176,-1.045802,-4.938931,26.05882
7785,0.2651367,0.9414063,-0.1196289,0.4580153,-1.80916,-1.10687,26.01176
7788,0.2773438,0.9443359,-0.1518555,2.427481,-1.175573,2.045802,26.01176
7780,0.3078613,0.9375,-0.2041016,2.526718,-0.4198473,2.541985,26.01176
7809,0.3654785,0.9206543,-0.2058105,0.03816794,-0.5572519,1.007634,26.05882
7834,0.3813477,0.8996582,-0.2033691,-2.709924,-0.8625955,-1.374046,26.71765
8226,0.3400879,0.9213867,-0.1970215,0.4503817,-0.4045802,0.9694656,26.71765
7876,0.3518066,0.9221191,-0.1992188,-1.129771,-0.6030535,0.1984733,26.15294
7802,0.8647461,0.9404297,0.02758789,110.6947,250.1298,-5.961832,26.01176
7773,0.6940918,0.4851074,-0.3955078,46.44275,88.20611,-31.30534,26.15294
7815,0.4521484,0.9016113,-0.5380859,26.49618,-14.60305,-25.67939,26.01176
7798,-0.1113281,0.9770508,-0.7827148,8.022901,97.80153,-19.43511,26.05882
7765,0.6064453,0.9316406,-0.2009277,-17.38931,18.81679,-14.96183,26.05882
7806,0.121582,0.9724121,-0.2033691,-30.19847,-3.442748,-1.755725,26.01176
7826,0.2453613,0.980957,0.01586914,-18.85496,-10.61832,3.587786,26.01176
7782,0.2006836,0.9558105,-0.04296875,-12.26718,0.3358779,8.717557,26.05882
7780,0.2717285,0.9333496,-0.03662109,-4.847328,-2.541985,11.53435,26.01176
7776,0.25,0.9492188,-0.0793457,3.496183,0.01526718,14.33588,26.01176
7832,0.3344727,1.003418,0.00390625,13.41221,0.6870229,15.99237,26.15294
7749,0.315918,0.9526367,-0.1811523,9.419847,2.053435,17.22901,26.05882
8172,0.3410645,0.9260254,-0.2460938,5.19084,0.2213741,15.47328,26.05882
7795,0.3652344,0.9130859,-0.234375,1.557252,0.9083969,10.20611,26.01176
7785,0.3662109,0.932373,-0.1860352,-0.2519084,0.6335878,6.21374,26.05882
7818,0.3901367,0.9267578,-0.168457,-2.732824,-0.8931297,1.496183,26.10588
7827,0.3666992,0.9204102,-0.1442871,-1.709924,-0.1832061,-1.274809,26.05882
7819,0.3422852,0.9279785,-0.1625977,-0.04580153,-2.503817,-1.442748,26.15294
7810,0.3161621,0.9401855,-0.170166,1.458015,-1.312977,-0.9160305,26.01176
7797,0.2993164,0.9233398,-0.201416,0.03053435,-0.7938931,0.1068702,26.10588
7772,0.3115234,0.9245605,-0.1906738,0.8625955,0.519084,0.3129771,26.05882
7803,0.3369141,0.9355469,-0.1848145,0.06870229,-0.3587786,-0.2442748,26.01176
7800,0.3266602,0.9304199,-0.2009277,-0.9312977,-0.4580153,-0.7022901,26.05882
7830,0.3188477,0.9333496,-0.1796875,-0.4580153,-0.1832061,-0.4122138,26.05882
7790,0.3146973,0.9348145,-0.1721191,0.7251908,0.3129771,-0.0610687,26.10588
8179,0.3203125,0.9421387,-0.1677246,-1.091603,-0.6564885,0.5267176,26.15294
