ax,ay,az,gx,gy,gz
0.09863281,0.9665527,-0.1359863,-0.5648855,-0.778626,-2.59542
0.0612793,0.9555664,-0.1589355,-1.282443,-1.320611,0.4122138
0.06738281,0.9780273,-0.1386719,-0.8473283,-0.5343512,1.946565
0.1013184,0.9880371,-0.1169434,-1.206107,-0.5419847,1.694656
0.1235352,0.9799805,-0.1020508,-0.2290076,-0.9923664,-0.09923664
0.1086426,0.9702148,-0.1254883,-0.4732824,-0.7099237,-0.8625955
0.09082031,0.9680176,-0.135498,-0.5343512,-0.6946565,-0.1068702
0.07788086,0.9812012,-0.1369629,-0.4427481,-0.3282443,0.9389313
0.0925293,0.9814453,-0.1193848,-0.9312977,-0.6793893,0.961832
0.1137695,0.9770508,-0.1118164,-0.6641222,-0.3587786,0.3969466
0.112793,0.9689941,-0.1333008,0.0,-0.6259542,-0.3587786
-eTwist-,-e-,-e-,-e-,-e-,-e-
-sTwist-,-s-,-s-,-s-,-s-,-s-
0.08984375,0.9780273,-0.121582,-0.4885496,-0.8167939,0.3129771
0.09472656,0.9633789,-0.1616211,-2.465649,-0.0610687,-0.1984733
0.1916504,0.9968262,-0.1928711,-0.8778625,-13.42748,-2.381679
-0.2741699,1.007813,-0.04296875,-7.938931,-184.5878,24.80153
0.02294922,0.9575195,-0.05322266,-10.77099,-73.42748,27.49618
0.2976074,0.7741699,-0.4824219,-19.91603,-78.30534,11.46565
0.5,1.0979,-0.07763672,-7.198473,-198.8855,-7.648855
0.4685059,0.9287109,-0.09130859,-13.32824,-248.6794,-29.29008
0.1218262,0.9650879,-0.1472168,-17.05343,-248.1832,-23.89313
-0.2443848,1.021729,0.006103516,-11.34351,-115.771,-25.33588
-0.1135254,0.8759766,-0.1931152,-9.122137,-98.24428,10.41221
0.190918,1.028564,-0.01293945,-4.519084,-154.9618,3.496183
0.8815918,0.9702148,0.0246582,-4.435114,-248.1832,-43.59542
-0.2585449,0.9155273,-0.1120605,-17.38931,-225.3435,-37.31298
-1.441162,1.013428,0.5759277,-12.07634,210.0305,75.06107
0.2702637,0.6860352,-0.3444824,16.72519,188.9695,73.25954
0.7172852,1.225342,-0.0078125,26.98473,124.5115,34.70992
-0.2375488,1.052734,0.3029785,-12.48092,250.1298,20.03817
0.451416,0.5532227,-0.7651367,5.320611,189.4198,6.137404
-0.192627,1.176758,0.1870117,38.90076,243.5954,18.64122
-0.2434082,1.125977,0.07641602,29.64122,250.1298,15.25954
1.218262,0.8937988,-0.2453613,11.28244,169.7634,-27.61069
-0.279541,1.136475,-0.08056641,15.38931,250.1298,18.70992
0.1809082,0.638916,-0.1721191,1.816794,250.1298,-28.09924
0.3286133,0.9475098,-0.3842773,25.91603,244.8015,-15.0458
0.423584,1.112305,0.125,15.22137,128.5954,-25.65649
-0.1816406,0.8525391,-0.3054199,-13.55725,105.3664,-3.450382
0.04443359,1.038818,-0.2155762,9.366412,13.77863,-1.183206
-0.1887207,0.9836426,-0.07250977,-2.480916,-0.8625955,22.16794
0.1479492,0.9614258,-0.1289063,-4.664122,-1.854962,15.76336
0.2329102,0.9262695,-0.1416016,-1.099237,-2.40458,5.19084
0.222168,0.9694824,-0.1125488,-0.1221374,-1.656489,-1.29771
0.175293,0.9768066,-0.1306152,0.5877862,-0.2290076,-5.679389
0.0769043,0.9824219,-0.1228027,0.3969466,-0.3129771,-4.244275
0.03808594,0.9790039,-0.128418,2.618321,1.015267,-0.8549618
0.03759766,0.980957,-0.1206055,-1.015267,-0.9007633,2.022901
0.08227539,0.9614258,-0.09912109,-1.328244,-0.6564885,2.396947
0.1323242,0.9719238,-0.1340332,-0.3358779,-0.8015267,0.5877862
0.1281738,0.9648438,-0.1318359,0.01526718,-0.7862596,-1.076336
0.09716797,0.9775391,-0.128418,-0.9160305,-0.5572519,-0.5801527
0.08105469,0.9814453,-0.1245117,-1.007634,-0.610687,0.5572519
0.09960938,0.9768066,-0.1191406,-0.740458,-0.6030535,1.053435
0.1210938,0.9743652,-0.1201172,-0.4122138,-0.7022901,0.480916
-eTwist-,-e-,-e-,-e-,-e-,-e-
-sTwist-,-s-,-s-,-s-,-s-,-s-
0.09448242,0.9807129,-0.1157227,-0.5572519,-0.6335878,0.2061069
0.1071777,1.02002,-0.1345215,-0.870229,-0.5648855,0.2213741
0.2121582,0.9345703,-0.1787109,-2.877863,-18.63359,-3.40458
0.6870117,0.9968262,-0.1501465,-4.465649,-154.1221,-23.05343
0.1577148,0.9301758,-0.2209473,-16.42748,-248.1832,-20.45802
-0.1123047,0.970459,-0.02685547,-17.0687,-248.1832,-14.01527
-0.3337402,1.046143,0.04614258,-12.70229,-190.8092,0.0
-0.1113281,0.8659668,-0.1945801,-12.49618,-172.5114,25.74809
0.1689453,0.9758301,-0.2370605,-10.35878,-144.4809,34.13741
0.2858887,1.050781,-0.1459961,-15.39695,-152.3435,5.137404
0.2387695,0.9750977,-0.1210938,-13.16794,-170.3512,-10.27481
0.1850586,0.939209,-0.1159668,-12.81679,-165.4962,-12.36641
0.1066895,1.013428,-0.08300781,-9.015267,-167.771,-11.64886
0.04589844,0.9919434,-0.06542969,-1.664122,-57.0229,-59.84733
-1.183594,1.010254,0.2375488,17.52672,144.1298,87.41222
0.1425781,0.9067383,-0.03515625,-7.152672,250.1298,19.0229
0.3288574,0.6608887,-0.3920898,17.77863,176.1832,-4.847328
-0.2084961,1.287109,-0.002929688,25.05343,250.1298,44.40458
1.319336,0.7731934,-0.1777344,10.54198,250.1298,-45.50382
-0.03198242,0.9758301,-0.1296387,35.84733,217.7786,59.01527
0.08520508,1.197754,0.3239746,30.54198,250.1298,-2.801527
0.1523438,0.7524414,-0.3273926,7.854962,220.2595,-19.03053
-0.1933594,0.9404297,-0.1804199,23.96947,215.6107,26.32825
0.3569336,0.923584,-0.1586914,9.740458,250.1298,-42.90076
-0.1066895,1.019531,-0.06591797,22.64122,197.7099,50.83206
1.463379,1.141113,0.01171875,0.5038168,149.1756,0.4351145
0.1933594,0.8474121,-0.3833008,-10.32061,77.05344,1.847328
0.1308594,1.069092,-0.1020508,8.335877,12.85496,1.045802
0.1550293,0.9880371,-0.1108398,1.091603,0.03816794,-3.030534
0.1074219,0.9633789,-0.1633301,-0.9236641,-0.7251908,-2.984733
0.07543945,0.9665527,-0.1262207,-1.549618,-1.152672,-0.7709923
