time,ax,ay,az,gx,gy,gz,temp
7789,0.2614746,0.9545898,-0.1591797,-0.2671756,-0.2977099,1.061069,28.6
7824,0.2719727,0.9433594,-0.1662598,-1.19084,-0.3129771,0.610687,28.55294
7820,0.2695313,0.939209,-0.1606445,-1.541985,-0.07633588,0.1526718,28.6
7794,0.2626953,0.9541016,-0.1577148,-1.045802,-0.5954198,0.3435115,28.55294
7797,0.2590332,0.9560547,-0.1447754,0.06870229,-0.7938931,0.06870229,28.64706
7774,0.2663574,0.9560547,-0.1652832,0.129771,-0.6335878,0.1679389,28.50588
8186,0.269043,0.9606934,-0.1484375,-0.4961832,-0.8091603,-0.007633588,28.55294
7824,0.8815918,0.8178711,-0.2763672,83.35878,250.1298,-31.85496,28.50588
7790,0.8461914,0.9018555,-0.293457,35.87023,34.01527,-68.32061,28.55294
7815,0.06469727,1.020264,-0.5454102,0.6412213,61.0,-91.24428,28.6
7835,-0.421875,1.003174,-0.3476563,-3.78626,16.73282,7.251908,28.6
7802,0.03100586,1.041748,-0.07080078,-18.81679,2.534351,-0.9160305,28.50588
7809,0.05957031,0.9091797,-0.0715332,-21.44275,-1.290076,-9.015267,28.55294
7816,0.4443359,0.8608398,-0.078125,0.480916,4.931298,-9.549619,28.55294
7815,-0.06274414,1.020752,-0.001464844,3.381679,-4.312977,7.687023,28.64706
7779,0.1682129,0.9970703,-0.05322266,10.80916,-2.0,9.083969,28.6
7807,0.2277832,0.9265137,-0.2380371,9.396947,-2.244275,10.60305,28.55294
7794,0.2932129,0.9436035,-0.2595215,5.129771,-1.916031,7.022901,28.6
7809,0.2658691,0.9462891,-0.2583008,-2.709924,0.1832061,5.870229,28.50588
7803,0.2385254,0.9484863,-0.1760254,-6.557252,0.3816794,6.709924,28.55294
8157,0.2595215,0.9543457,-0.1025391,-4.625954,0.1603053,6.244275,28.6
7846,0.2902832,0.9309082,-0.1013184,-1.908397,-0.5496183,4.274809,28.55294
7799,0.2973633,0.9440918,-0.1115723,1.061069,-1.625954,1.526718,28.6
7830,0.3017578,0.9367676,-0.1506348,2.091603,-0.4122138,-0.8015267,28.55294
7793,0.2834473,0.9421387,-0.1777344,0.3282443,-0.2290076,-2.099237,28.45882
7805,0.2575684,0.9528809,-0.1794434,-2.694656,0.1526718,-2.541985,28.50588
7843,0.251709,0.949707,-0.1459961,-2.732824,-0.1526718,-2.526718,28.50588
7789,0.2529297,0.953125,-0.1264648,-1.541985,-0.6412213,-2.389313,28.64706
7780,0.2478027,0.9621582,-0.1240234,0.2213741,-0.7709923,-2.557252,28.55294
7822,0.2333984,0.9577637,-0.1447754,1.091603,-0.5114504,-1.534351,28.41176
7821,0.2277832,0.947998,-0.171875,0.2442748,-0.6717557,-0.8244275,28.45882
7806,0.2319336,0.9621582,-0.171875,-1.580153,-0.4503817,0.389313,28.50588
7813,0.2370605,0.9602051,-0.1420898,-1.931298,-0.5419847,1.061069,28.50588
8191,0.2463379,0.9521484,-0.1403809,-0.9694656,-0.8091603,1.19084,28.55294
7834,0.2563477,0.9533691,-0.1330566,0.2366412,-0.5572519,0.9923664,28.55294
16217,0.2531738,0.9499512,-0.140625,0.03816794,-0.4122138,0.0610687,28.41176
7840,0.255127,0.9509277,-0.1542969,-1.198473,-0.389313,-0.4503817,28.55294
7833,0.2556152,0.9523926,-0.1501465,-1.709924,-0.4198473,-0.6870229,28.50588
7825,0.2412109,0.9526367,-0.1335449,-0.9694656,-0.4122138,-0.259542,28.45882
7810,0.2397461,0.9511719,-0.1467285,0.1068702,-0.5038168,-0.1374046,28.6
7781,0.244873,0.9570313,-0.1489258,0.129771,-0.3816794,0.3053435,28.55294
7820,-0.4350586,1.036621,-0.07104492,135.3664,250.1298,46.42748,28.64706
7784,1.238525,0.6855469,-0.1147461,74.35114,190.2824,-45.30534,28.6
7821,0.380127,0.7329102,-0.6064453,17.9771,18.22137,-60.98473,28.6
7803,0.002929688,1.035889,-0.6022949,-0.1984733,103.7405,-70.75572,28.45882
7847,-0.06298828,0.8840332,-0.3203125,-18.74046,52.94656,10.56489,28.55294
7813,0.2211914,0.953125,0.01782227,-25.58015,9.847328,-20.21374,28.50588
8155,0.112793,0.9799805,0.1022949,-13.07634,0.610687,-12.32824,28.50588
7851,0.1755371,0.9692383,0.04199219,-4.198473,0.1908397,-8.78626,28.50588
7829,0.2060547,0.972168,-0.01635742,5.40458,-1.854962,-7.442748,28.55294
7808,0.1486816,0.9833984,-0.05322266,8.244275,-2.633588,-1.183206,28.55294
7829,0.1259766,0.9760742,-0.1542969,10.24428,-2.954198,6.763359,28.50588
7818,0.1706543,0.9584961,-0.2277832,5.778626,-0.6946565,10.83206,28.45882
7793,0.2353516,0.9450684,-0.2236328,0.351145,-0.2290076,11.67176,28.50588
7821,0.2685547,0.942627,-0.1713867,-2.541985,-0.8778625,11.65649,28.55294
7815,0.2666016,0.951416,-0.1020508,-0.8244275,-0.9083969,12.06107,28.6
7812,0.3015137,0.9484863,-0.1025391,1.221374,-1.534351,10.78626,28.6
7838,0.3334961,0.9245605,-0.1464844,1.412214,-1.129771,7.541985,28.55294
7795,0.3510742,0.9179688,-0.182373,0.519084,-0.6641222,3.70229,28.6
7848,0.3364258,0.9394531,-0.1674805,-0.4122138,-0.4656488,0.3587786,28.6
7822,0.3139648,0.9523926,-0.1479492,-1.129771,-0.2977099,-1.167939,28.45882
8269,0.2741699,0.9492188,-0.1396484,-1.946565,-0.2977099,-4.435114,28.55294
7870,0.2524414,0.9560547,-0.1342773,-2.374046,-0.1145038,-3.656489,28.55294
7891,0.2441406,0.9494629,-0.1240234,-2.007634,-0.007633588,-1.801527,28.55294
7828,0.2480469,0.9528809,-0.1237793,-0.8854962,-0.3587786,-0.5877862,28.6
7840,0.251709,0.967041,-0.1325684,0.129771,-0.3969466,0.1984733,28.45882
7826,0.2431641,0.9545898,-0.1394043,0.5877862,-0.6870229,1.816794,28.55294
7811,0.2626953,0.9465332,-0.1396484,-0.03816794,-0.7633588,2.29771,28.50588
7832,0.28125,0.9462891,-0.1520996,-0.5419847,-0.3816794,1.671756,28.55294
7819,0.2907715,0.942627,-0.137207,-1.053435,-0.648855,0.6641222,28.6
7837,0.2792969,0.9501953,-0.1374512,-0.778626,-0.3358779,0.2442748,28.45882
7881,0.2780762,0.9489746,-0.1306152,-0.389313,-0.7480916,-0.3053435,28.6
7856,0.2868652,0.949707,-0.1455078,-0.2213741,-0.519084,-0.8473283,28.64706
7802,0.2697754,0.9499512,-0.1359863,-0.7251908,-0.3282443,-0.7480916,28.6
7817,0.2561035,0.9562988,-0.1455078,-1.328244,-0.4656488,-0.1679389,28.64706
8200,0.2670898,0.942627,-0.1359863,-1.061069,-0.4885496,0.3587786,28.6
7869,0.2663574,0.9462891,-0.135498,-0.8778625,-0.4885496,0.4656488,28.50588
7802,0.8937988,0.689209,-0.5651855,110.542,250.1298,-9.877863,28.55294
7825,0.8242188,0.7192383,-0.6896973,18.43511,53.93893,-56.77099,28.50588
7841,0.1748047,0.8857422,-0.5695801,-13.32824,46.0687,-56.32824,28.55294
7862,-0.2314453,0.9060059,-0.328125,-10.03817,91.52672,5.748092,28.55294
