time,ax,ay,az,gx,gy,gz,temp
7750,0.2714844,0.9194336,-0.2214355,2.083969,1.480916,8.015267,28.6
7806,0.4057617,0.9135742,-0.2487793,-1.351145,0.9847328,3.793893,28.55294
7803,0.4360352,0.9089355,-0.1901855,-4.328244,0.1221374,-1.931298,28.64706
8238,0.3081055,0.9458008,-0.154541,1.961832,-1.748092,1.526718,28.64706
7855,0.3505859,0.9223633,-0.2021484,0.870229,-1.099237,0.03816794,28.64706
7846,0.3527832,0.9262695,-0.1955566,-0.832061,-0.007633588,-1.694656,28.6
7817,0.3249512,0.9467773,-0.170166,-2.625954,-0.3816794,-2.129771,28.55294
7842,0.3024902,0.9384766,-0.1508789,-3.267176,-0.4427481,-0.9389313,28.55294
7844,0.295166,0.9418945,-0.1328125,-1.725191,-0.04580153,0.03816794,28.50588
7787,0.3156738,0.9326172,-0.1193848,-0.9236641,-0.7557252,0.08396947,28.55294
7783,0.3327637,0.942627,-0.145752,0.7480916,-1.648855,-0.389313,28.55294
7790,0.315918,0.9396973,-0.1572266,0.129771,-0.480916,-0.6259542,28.50588
7783,0.3166504,0.9345703,-0.1743164,-0.3664122,-0.5954198,-0.7022901,28.55294
7821,0.3049316,0.9294434,-0.1748047,-2.183206,-0.4885496,-0.2977099,28.64706
7785,0.300293,0.9396973,-0.1560059,-1.541985,-0.4045802,0.389313,28.64706
7797,0.4272461,0.8425293,-0.4260254,24.90076,217.4275,-62.29771,28.55294
7854,0.2497559,0.8339844,-0.4282227,-20.84733,-2.343511,-38.19847,28.64706
8152,-0.1689453,0.9992676,0.01855469,1.847328,47.59542,7.183206,28.50588
7834,0.08398438,1.064941,0.1381836,2.961832,36.67176,17.96183,28.45882
7816,0.1958008,0.9135742,-0.02636719,5.832061,-14.19084,38.77099,28.45882
7780,0.2197266,0.9868164,-0.05712891,15.67939,-2.656489,38.80153,28.50588
7783,0.190918,0.9382324,-0.2316895,14.09924,-2.053435,52.42748,28.55294
